"project_entity_id","canonical_project_name","aliases","website","project_twitter","project_github","user_github","payout_addresses","project_type","domain","function","region","project_status","classification_status","match_status","confirmed_by","confirmed_at","notes","created_at_source","last_edited_source"
"DSPJ-0023","Neurodevelop",,,,,,,"Product","Biotech / Health","Experimentation, Treatment",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0024","Feynman WTF",,,,,,,"Product","AI / Data","Discovery, Knowledge Sharing",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0025","Youth Digital Skills",,,,,,,"Education","Education","Education, Training",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0026","American Season",,,,,,,"Media / Narrative","Social / Community","Storytelling",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0027","Spark DeSci",,,,,,,"Funding Mechanism","Governance / DAO","Coordination, Funding",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0028","LORS",,,,,,,"Infrastructure","Space / Physics","Coordination, Standardization",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0029","DeSci Asia",,,,,,,"Community","Education","Community Building, Education",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0030","Overlake Bio",,,,,,,,,,,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0031","ToGather",,,,,,,"Platform","Social / Community","Data Collection, Knowledge Sharing",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0032","Sharkwatch Cozumel",,,,,,,"Community","Ocean / Marine","Community Building, Education",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0033","InfiniteZero",,,,,,,"Infrastructure","AI / Data","Data Infrastructure, Training",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
