"donor_id","wallet_address","first_seen_funding_round_id","supported_round_count","supported_project_count","total_donation_event_count","done_event_count","success_true_event_count","success_false_event_count","total_amount_usd_all_events","done_amount_usd","success_true_amount_usd","success_false_amount_usd","notes"
"DSDN-000045","0x8b5e4ba136d3a483ac9988c20cbf0018cc687e6f","FR-GTC-GG23-DESCI","1","4","4","4","0","4","1.0199","1.0199","0","1.0199","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000046","0x8efe51753defd7a1a82458731fbc05fa04cb2d1e","FR-GTC-GG23-DESCI","1","3","3","3","0","3","2.988","2.988","0","2.988","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000047","0x907a309f219bfe81e9d50316caa6b02dcf7bb016","FR-GTC-GG23-DESCI","1","1","1","1","0","1","1.2057","1.2057","0","1.2057","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000048","0x96e03e38ad4b5ef728f4c5f305eddbb509b652d0","FR-GTC-GG23-DESCI","1","1","1","1","0","1","0.3002","0.3002","0","0.3002","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000049","0x97b102e00d88f02debfd6b1e4b901dd6931bb982","FR-GTC-GG23-DESCI","1","4","4","4","4","0","4.1939","4.1939","4.1939","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000050","0x98f42f33c9ec06a585f1a97edfd61661ccfea033","FR-GTC-GG23-DESCI","1","13","13","13","0","13","12.997","12.997","0","12.997","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000051","0xa155385a9090c8a1820cfe4b5f8eca1e09328f62","FR-GTC-GG23-DESCI","1","1","1","0","0","0","1.0362","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000052","0xa64f2228ccec96076c82abb903021c33859082f8","FR-GTC-GG23-DESCI","1","2","2","2","2","0","5.9965","5.9965","5.9965","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000053","0xa829cfd0a0ba3ef42561b9276147c25382aeb801","FR-GTC-GG23-DESCI","1","1","1","1","1","0","5.857","5.857","5.857","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000054","0xa90f4c23bc5d8bb01fc3f585d21e1bad0b2487ad","FR-GTC-GG23-DESCI","1","5","5","0","0","0","13.5636","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000055","0xa9d20b435a85faaa002f32d66f7d21564130e9cf","FR-GTC-GG23-DESCI","1","4","5","5","5","0","6.9849","6.9849","6.9849","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000056","0xacd59e854adf632d2322404198624f757c868c97","FR-GTC-GG23-DESCI","1","9","9","9","9","0","9.0002","9.0002","9.0002","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000057","0xb051dfcc3c3cfdc50736a1fb25754d482ddd5083","FR-GTC-GG23-DESCI","1","1","1","1","0","1","0.054","0.054","0","0.054","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000058","0xb0603d605a6ddc706e200bb75a308e8615a014f8","FR-GTC-GG23-DESCI","1","1","1","1","0","1","2.096","2.096","0","2.096","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000059","0xb2206f941a5206b55bfa33e665687523a8bced80","FR-GTC-GG23-DESCI","1","8","8","8","8","0","7.9973","7.9973","7.9973","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
